candidate_node,min_hop,max_hop,mean_hop,method_gap,max_methods,min_methods,method,hop
HS1314237,2,15,8.5,13,"Degree,Betweenness,Embedding-Guided","Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,15
HS1313618,0,9,3.1666666666666665,9,Embedding-Guided,Cand-Obs,Betweenness,4
HS1316814,1,9,4.166666666666667,8,Degree,"Cand-Obs,Two-stage v1",Betweenness,7
HS1306471,0,7,3.0,7,Degree,Embedding-Guided,Betweenness,5
HS1313471,1,7,2.3333333333333335,6,Embedding-Guided,"Degree,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,3
HS1313597,0,6,2.0,6,Embedding-Guided,"Degree,Two-stage v1",Betweenness,2
HS2003085,0,6,1.6666666666666667,6,Degree,Embedding-Guided,Betweenness,1
HS1330842,0,6,1.5,6,Degree,"Cand-Obs,Two-stage v1",Betweenness,1
HS1311288,0,5,2.5,5,Embedding-Guided,Two-stage v1,Betweenness,4
HS1316415,0,5,2.3333333333333335,5,Degree,Two-stage v1,Betweenness,3
HS1313925,0,5,2.1666666666666665,5,Embedding-Guided,Cand-Obs,Betweenness,3
MH0258475,1,5,4.0,4,"Degree,Betweenness,Node-Feedback,Embedding-Guided",Two-stage v1,Betweenness,5
HS1344902,1,5,3.1666666666666665,4,"Degree,Betweenness,Embedding-Guided","Cand-Obs,Node-Feedback",Betweenness,5
HS1344920,2,6,3.0,4,Embedding-Guided,"Degree,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,4
MH0242782,0,4,3.0,4,"Degree,Betweenness,Node-Feedback,Embedding-Guided",Two-stage v1,Betweenness,4
MH0101924,0,4,1.3333333333333333,4,Embedding-Guided,Betweenness,Betweenness,0
HS1313253,0,4,1.3333333333333333,4,Two-stage v1,"Degree,Node-Feedback",Betweenness,2
HS1313298,0,4,1.0,4,Embedding-Guided,"Degree,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,2
HS1311473,1,4,2.3333333333333335,3,Embedding-Guided,Degree,Betweenness,3
HS1344261,1,4,1.8333333333333333,3,Embedding-Guided,"Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,2
HS1316643,0,3,1.8333333333333333,3,"Degree,Betweenness,Embedding-Guided",Two-stage v1,Betweenness,3
HS1311339,0,3,1.6666666666666667,3,"Degree,Betweenness,Node-Feedback","Cand-Obs,Two-stage v1",Betweenness,3
HS2003015,0,3,1.6666666666666667,3,Node-Feedback,Two-stage v1,Betweenness,2
HS1313001,0,3,1.3333333333333333,3,Embedding-Guided,Degree,Betweenness,2
HS1316721,0,3,1.0,3,Betweenness,"Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,3
HS1313402,0,3,0.5,3,Embedding-Guided,"Degree,Betweenness,Cand-Obs,Two-stage v1,Node-Feedback",Betweenness,0
HS1344263,1,3,2.3333333333333335,2,"Degree,Betweenness,Node-Feedback,Embedding-Guided","Cand-Obs,Two-stage v1",Betweenness,3
HS1314505,1,3,1.8333333333333333,2,"Betweenness,Node-Feedback","Cand-Obs,Two-stage v1,Embedding-Guided",Betweenness,3
HS1316585,0,2,1.5,2,"Degree,Betweenness,Node-Feedback,Embedding-Guided",Cand-Obs,Betweenness,2
